Methods Information:
21.02.2024 19:05:16
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to   10.00 BUFFER A     1.00
02    10.00 to   20.00   0-57%B     1.00
03    20.00 to   40.00 57-100%B     0.10
--------------------------------------------------
--------------------------------------------------
21.02.2024 19:39:24
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   12.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
21.02.2024 19:50:45
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   12.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:		Events:		
141.733	0.0058				
141.750	0.0058				
141.767	0.0058				
141.783	0.0058				
141.800	0.0057				
141.817	0.0057				
141.833	0.0058				
141.850	0.0058				
141.867	0.0058				
141.883	0.0058				
141.900	0.0057				
141.917	0.0057				
141.933	0.0057				
141.950	0.0057				
141.967	0.0056				
141.983	0.0056				
142.000	0.0056				
142.017	0.0055				
142.033	0.0055				
142.050	0.0055				
142.067	0.0055				
142.083	0.0056				
142.100	0.0056				
142.117	0.0058				
142.133	0.0058				
142.150	0.0057				
142.167	0.0057				
142.183	0.0057				
142.200	0.0057				
142.217	0.0056				
142.233	0.0056				
142.250	0.0057				
142.267	0.0057				
142.283	0.0057				
142.300	0.0056				
142.317	0.0056				
142.333	0.0056				
142.350	0.0056				
142.367	0.0056				
142.383	0.0056				
142.400	0.0056				
142.417	0.0056				
142.433	0.0056				
142.450	0.0056				
142.467	0.0056				
142.483	0.0056				
142.500	0.0056				
142.517	0.0057				
142.533	0.0057				
142.550	0.0056				
142.567	0.0056				
142.583	0.0056				
142.600	0.0057				
142.617	0.0058				
142.633	0.0057				
142.650	0.0057				
142.667	0.0057				
142.683	0.0057				
142.700	0.0056				
142.717	0.0056				
142.733	0.0056				
142.750	0.0056				
142.767	0.0056				
142.783	0.0056				
142.800	0.0057				
142.817	0.0056				
142.833	0.0056				
142.850	0.0056				
142.867	0.0056				
142.883	0.0056				
142.900	0.0057				
142.917	0.0056				
142.933	0.0055				
142.950	0.0056				
142.967	0.0056				
142.983	0.0056				
143.000	0.0056				
143.017	0.0057				
143.033	0.0057				
143.050	0.0057				
143.067	0.0056				
143.083	0.0056				
143.100	0.0056				
143.117	0.0056				
143.133	0.0056				
143.150	0.0056				
143.167	0.0056				
143.183	0.0057				
143.200	0.0056				
143.217	0.0055				
143.233	0.0055				
143.250	0.0056				
143.267	0.0056				
143.283	0.0056				
143.300	0.0057				
143.317	0.0057				
143.333	0.0056				
143.350	0.0056				
143.367	0.0057				
143.383	0.0056				
143.400	0.0055				
143.417	0.0055				
143.433	0.0056				
143.450	0.0056				
143.467	0.0056				
143.483	0.0056				
143.500	0.0056				
143.517	0.0056				
143.533	0.0056				
143.550	0.0056				
143.567	0.0056				
143.583	0.0057				
143.600	0.0057				
143.617	0.0056				
143.633	0.0056				
143.650	0.0056				
143.667	0.0056				
143.683	0.0056				
143.700	0.0056				
143.717	0.0057				
143.733	0.0057				
143.750	0.0057				
143.767	0.0056				
143.783	0.0056				
143.800	0.0056				
143.817	0.0056				
143.833	0.0057				
143.850	0.0056				
143.867	0.0056				
143.883	0.0056				
143.900	0.0055				
143.917	0.0056				
143.933	0.0057				
143.950	0.0057				
143.967	0.0056				
143.983	0.0056				
144.000	0.0055				
144.017	0.0056				
144.033	0.0057				
144.050	0.0056				
144.067	0.0056				
144.083	0.0056				
144.100	0.0056				
144.117	0.0056				
144.133	0.0056				
144.150	0.0056				
144.167	0.0056				
144.183	0.0057				
144.200	0.0057				
144.217	0.0056				
144.233	0.0056				
144.250	0.0056				
144.267	0.0056				
144.283	0.0056				
144.300	0.0056				
144.317	0.0056				
144.333	0.0056				
144.350	0.0056				
144.367	0.0056				
144.383	0.0055				
144.400	0.0055				
144.417	0.0056				
144.433	0.0056				
144.450	0.0056				
144.467	0.0056				
144.483	0.0056				
144.500	0.0056				
144.517	0.0056				
144.533	0.0056				
144.550	0.0055				
144.567	0.0056				
144.583	0.0057				
144.600	0.0057				
144.617	0.0057				
144.633	0.0058				
144.650	0.0057				
144.667	0.0057				
144.683	0.0057				
144.700	0.0057				
144.717	0.0057				
144.733	0.0057				
144.750	0.0057				
144.767	0.0057				
144.783	0.0056				
144.800	0.0055				
144.817	0.0055				
144.833	0.0056				
144.850	0.0056				
144.867	0.0056				
144.883	0.0057				
144.900	0.0057				
144.917	0.0056				
144.933	0.0055				
144.950	0.0055				
144.967	0.0056				
144.983	0.0056				
145.000	0.0056				
145.017	0.0056				
145.033	0.0057				
145.050	0.0057				
145.067	0.0057				
145.083	0.0057				
145.100	0.0056				
145.117	0.0055				
145.133	0.0056				
145.150	0.0057				
145.167	0.0057				
145.183	0.0056				
145.200	0.0055				
145.217	0.0055				
145.233	0.0056				
145.250	0.0056				
145.267	0.0056				
145.283	0.0056				
145.300	0.0057				
145.317	0.0057				
145.333	0.0056				
145.350	0.0056				
145.367	0.0057				
145.383	0.0056				
145.400	0.0056				
145.417	0.0056				
145.433	0.0056				
145.450	0.0056				
145.467	0.0056				
145.483	0.0056				
145.500	0.0056				
145.517	0.0057				
145.533	0.0057				
145.550	0.0056				
145.567	0.0056				
145.583	0.0056				
145.600	0.0056				
145.617	0.0056				
145.633	0.0057				
145.650	0.0057				
145.667	0.0057				
145.683	0.0056				
145.700	0.0056				
145.717	0.0056				
145.733	0.0055				
145.750	0.0055				
145.767	0.0055				
145.783	0.0055				
145.800	0.0056				
145.817	0.0057				
145.833	0.0057				
145.850	0.0056				
145.867	0.0057				
145.883	0.0057				
145.900	0.0057				
145.917	0.0056				
145.933	0.0056				
145.950	0.0056				
145.967	0.0055				
145.983	0.0055				
146.000	0.0055				
146.017	0.0055				
146.033	0.0056				
146.050	0.0055				
146.067	0.0056				
146.083	0.0056				
146.100	0.0056				
146.117	0.0056				
146.133	0.0056				
146.150	0.0056				
146.167	0.0056				
146.183	0.0056				
146.200	0.0056				
146.217	0.0056				
146.233	0.0056				
146.250	0.0056				
146.267	0.0056				
146.283	0.0056				
146.300	0.0057				
146.317	0.0057				
146.333	0.0057				
146.350	0.0057				
146.367	0.0056				
146.383	0.0055				
146.400	0.0055				
146.417	0.0056				
146.433	0.0056				
146.450	0.0056				
146.467	0.0056				
146.483	0.0056				
146.500	0.0055				
146.517	0.0056				
146.533	0.0056				
146.550	0.0056				
146.567	0.0055				
146.583	0.0055				
146.600	0.0055				
146.617	0.0055				
146.633	0.0056				
146.650	0.0057				
146.667	0.0056				
146.683	0.0056				
146.700	0.0056				
146.717	0.0056				
146.733	0.0056				
146.750	0.0055				
146.767	0.0056				
146.783	0.0057				
146.800	0.0056				
146.817	0.0056				
146.833	0.0056				
146.850	0.0056				
146.867	0.0055				
146.883	0.0055				
146.900	0.0056				
146.917	0.0057				
146.933	0.0056				
146.950	0.0055				
146.967	0.0056				
146.983	0.0056				
147.000	0.0056				
147.017	0.0057				
147.033	0.0057				
147.050	0.0057				
147.067	0.0057				
147.083	0.0057				
147.100	0.0057				
147.117	0.0057				
147.133	0.0056				
147.150	0.0056				
147.167	0.0055				
147.183	0.0056				
147.200	0.0056				
147.217	0.0056				
147.233	0.0057				
147.250	0.0057				
147.267	0.0057				
147.283	0.0056				
147.300	0.0056				
147.317	0.0056				
147.333	0.0056				
147.350	0.0057				
147.367	0.0057				
147.383	0.0057				
147.400	0.0056				
147.417	0.0056				
147.433	0.0057				
147.450	0.0056				
147.467	0.0056				
147.483	0.0056				
147.500	0.0056				
147.517	0.0055				
147.533	0.0055				
147.550	0.0056				
147.567	0.0056				
147.583	0.0057				
147.600	0.0057				
147.617	0.0056				
147.633	0.0056				
147.650	0.0056				
147.667	0.0057				
147.683	0.0056				
147.700	0.0056				
147.717	0.0055				
147.733	0.0056				
147.750	0.0056				
147.767	0.0057				
147.783	0.0057				
147.800	0.0057				
147.817	0.0056				
147.833	0.0056				
147.850	0.0056				
147.867	0.0057				
147.883	0.0056				
147.900	0.0056				
147.917	0.0056				
147.933	0.0057				
147.950	0.0056				
147.967	0.0056				
147.983	0.0056				
148.000	0.0056				
148.017	0.0056				
148.033	0.0057				
148.050	0.0056				
148.067	0.0056				
148.083	0.0056				
148.100	0.0056				
148.117	0.0056				
148.133	0.0056				
148.150	0.0056				
148.167	0.0056				
148.183	0.0056				
148.200	0.0056				
148.217	0.0056				
148.233	0.0056				
148.250	0.0055				
148.267	0.0055				
148.283	0.0056				
148.300	0.0056				
148.317	0.0057				
148.333	0.0056				
148.350	0.0056				
148.367	0.0055				
148.383	0.0055				
148.400	0.0055				
148.417	0.0056				
148.433	0.0056				
148.450	0.0056				
148.467	0.0056				
148.483	0.0056				
148.500	0.0056				
148.517	0.0056				
148.533	0.0056				
148.550	0.0055				
148.567	0.0055				
148.583	0.0055				
148.600	0.0056				
148.617	0.0056				
148.633	0.0056				
148.650	0.0055				
148.667	0.0056				
148.683	0.0057				
148.700	0.0056				
148.717	0.0056				
148.733	0.0056				
148.750	0.0057				
148.767	0.0056				
148.783	0.0056				
148.800	0.0055				
148.817	0.0055				
148.833	0.0055				
148.850	0.0055				
148.867	0.0055				
148.883	0.0055				
148.900	0.0055				
148.917	0.0055				
148.933	0.0055				
148.950	0.0054				
148.967	0.0054				
148.983	0.0055				
149.000	0.0055				
149.017	0.0055				
149.033	0.0055				
149.050	0.0056				
149.067	0.0056				
149.083	0.0056				
149.100	0.0056				
149.117	0.0055				
149.133	0.0056				
149.150	0.0056				
149.167	0.0057				
149.183	0.0057				
149.200	0.0056				
149.217	0.0056				
149.233	0.0056				
149.250	0.0057				
149.267	0.0056				
149.283	0.0056				
149.300	0.0055				
149.317	0.0056				
149.333	0.0056				
149.350	0.0056				
149.367	0.0055				
149.383	0.0055				
149.400	0.0056				
149.417	0.0057				
149.433	0.0056				
149.450	0.0056				
149.467	0.0056				
149.483	0.0056				
149.500	0.0055				
149.517	0.0055				
149.533	0.0055				
149.550	0.0055				
149.567	0.0054				
149.583	0.0055				
149.600	0.0057				
149.617	0.0056				
149.633	0.0055				
149.650	0.0055				
149.667	0.0056				
149.683	0.0056				
149.700	0.0056				
149.717	0.0055				
149.733	0.0056				
149.750	0.0056				
149.767	0.0056				
149.783	0.0056				
149.800	0.0056				
149.817	0.0055				
149.833	0.0055				
149.850	0.0055				
149.867	0.0055				
149.883	0.0055				
149.900	0.0055				
149.917	0.0055				
149.933	0.0056				
149.950	0.0056				
149.967	0.0056				
149.983	0.0055				
150.000	0.0055				
150.017	0.0055				
150.033	0.0055				
150.050	0.0055				
150.067	0.0055				
150.083	0.0055				
150.100	0.0056				
150.117	0.0055				
150.133	0.0055				
150.150	0.0056				
150.167	0.0056				
150.183	0.0056				
150.200	0.0055				
150.217	0.0055				
150.233	0.0055				
150.250	0.0056				
150.267	0.0055				
150.283	0.0055				
150.300	0.0055				
150.317	0.0055				
150.333	0.0055				
150.350	0.0056				
150.367	0.0056				
150.383	0.0056				
150.400	0.0056				
150.417	0.0056				
150.433	0.0056				
150.450	0.0055				
150.467	0.0054				
150.483	0.0053				
150.500	0.0055				
150.517	0.0054				
150.533	0.0054				
150.550	0.0055				
150.567	0.0056				
150.583	0.0055				
150.600	0.0055				
150.617	0.0055				
150.633	0.0055				
150.650	0.0055				
150.667	0.0055				
150.683	0.0056				
150.700	0.0055				
150.717	0.0055				
150.733	0.0056				
150.750	0.0056				
150.767	0.0055				
150.783	0.0056				
150.800	0.0056				
150.817	0.0056				
150.833	0.0055				
150.850	0.0055				
150.867	0.0055				
150.883	0.0055				
150.900	0.0055				
150.917	0.0055				
150.933	0.0054				
150.950	0.0054				
150.967	0.0055				
150.983	0.0056				
151.000	0.0057				
151.017	0.0056				
151.033	0.0055				
151.050	0.0056				
151.067	0.0056				
151.083	0.0055				
151.100	0.0055				
151.117	0.0056				
151.133	0.0056				
151.150	0.0056				
151.167	0.0056				
151.183	0.0056				
151.200	0.0056				
151.217	0.0055				
151.233	0.0055				
151.250	0.0055				
151.267	0.0055				
151.283	0.0055				
151.300	0.0056				
151.317	0.0056				
151.333	0.0056				
151.350	0.0055				
151.367	0.0055				
151.383	0.0055				
151.400	0.0055				
151.417	0.0056				
151.433	0.0056				
151.450	0.0056				
151.467	0.0055				
151.483	0.0055				
151.500	0.0055				
151.517	0.0055				
151.533	0.0056				
151.550	0.0055				
151.567	0.0055				
151.583	0.0055				
151.600	0.0056				
151.617	0.0056				
151.633	0.0055				
151.650	0.0055				
151.667	0.0055				
151.683	0.0055				
151.700	0.0055				
151.717	0.0056				
151.733	0.0056				
151.750	0.0055				
151.767	0.0054				
151.783	0.0054				
151.800	0.0054				
151.817	0.0055				
151.833	0.0055				
151.850	0.0056				
151.867	0.0056				
151.883	0.0056				
151.900	0.0055				
151.917	0.0055				
151.933	0.0056				
151.950	0.0056				
151.967	0.0056				
151.983	0.0056				
152.000	0.0056				
152.017	0.0056				
152.033	0.0054				
152.050	0.0054				
152.067	0.0054				
152.083	0.0055				
152.100	0.0056				
152.117	0.0056				
152.133	0.0056				
152.150	0.0055				
152.167	0.0055				
152.183	0.0056				
152.200	0.0055				
152.217	0.0055				
152.233	0.0055				
152.250	0.0055				
152.267	0.0056				
152.283	0.0055				
152.300	0.0056				
152.317	0.0056				
152.333	0.0056				
152.350	0.0056				
152.367	0.0056				
152.383	0.0056				
152.400	0.0056				
152.417	0.0056				
152.433	0.0056				
152.450	0.0055				
152.467	0.0055				
152.483	0.0056				
152.500	0.0056				
152.517	0.0056				
152.533	0.0055				
152.550	0.0054				
152.567	0.0055				
152.583	0.0056				
152.600	0.0056				
152.617	0.0056				
152.633	0.0056				
152.650	0.0055				
152.667	0.0055				
152.683	0.0055				
152.700	0.0056				
152.717	0.0056				
152.733	0.0055				
152.750	0.0054				
152.767	0.0054				
152.783	0.0055				
152.800	0.0056				
152.817	0.0056				
152.833	0.0057				
152.850	0.0056				
152.867	0.0055				
152.883	0.0055				
152.900	0.0055				
152.917	0.0055				
152.933	0.0055				
152.950	0.0054				
152.967	0.0055				
152.983	0.0056				
153.000	0.0055				
153.017	0.0056				
153.033	0.0057				
153.050	0.0056				
153.067	0.0055				
153.083	0.0055				
153.100	0.0056				
153.117	0.0055				
153.133	0.0055				
153.150	0.0055				
153.167	0.0056				
153.183	0.0055				
153.200	0.0055				
153.217	0.0055				
153.233	0.0055				
153.250	0.0056				
153.267	0.0055				
153.283	0.0055				
153.300	0.0055				
153.317	0.0055				
153.333	0.0054				
153.350	0.0055				
153.367	0.0055				
153.383	0.0056				
153.400	0.0056				
153.417	0.0057				
153.433	0.0057				
153.450	0.0056				
153.467	0.0056				
153.483	0.0056				
153.500	0.0056				
153.517	0.0056				
153.533	0.0056				
153.550	0.0055				
153.567	0.0054				
153.583	0.0054				
153.600	0.0055				
153.617	0.0055				
153.633	0.0055				
153.650	0.0055				
153.667	0.0055				
153.683	0.0055				
153.700	0.0056				
153.717	0.0055				
153.733	0.0056				
153.750	0.0056				
153.767	0.0055				
153.783	0.0055				
153.800	0.0056				
153.817	0.0056				
153.833	0.0054				
153.850	0.0054				
153.867	0.0055				
153.883	0.0055				
153.900	0.0055				
153.917	0.0056				
153.933	0.0056				
153.950	0.0056				
153.967	0.0057				
153.983	0.0057				
154.000	0.0056				
154.017	0.0056				
154.033	0.0056				
154.050	0.0057				
154.067	0.0055				
154.083	0.0055				
154.100	0.0056				
154.117	0.0056				
154.133	0.0055				
154.150	0.0055				
154.167	0.0056				
154.183	0.0056				
154.200	0.0057				
154.217	0.0056				
154.233	0.0055				
154.250	0.0054				
154.267	0.0054				
154.283	0.0055				
154.300	0.0056				
154.317	0.0055				
154.333	0.0056				
154.350	0.0056				
154.367	0.0056				
154.383	0.0056				
154.400	0.0056				
154.417	0.0055				
154.433	0.0055				
154.450	0.0055				
154.467	0.0055				
154.483	0.0055				
154.500	0.0055				
154.517	0.0056				
154.533	0.0056				
154.550	0.0056				
154.567	0.0056				
154.583	0.0056				
154.600	0.0055				
154.617	0.0055				
154.633	0.0055				
154.650	0.0055				
154.667	0.0055				
154.683	0.0055				
154.700	0.0055				
154.717	0.0056				
154.733	0.0056				
154.750	0.0056				
154.767	0.0056				
154.783	0.0056				
154.800	0.0056				
154.817	0.0056				
154.833	0.0055				
154.850	0.0055				
154.867	0.0055				
154.883	0.0054				
154.900	0.0054				
154.917	0.0055				
154.933	0.0055				
154.950	0.0056				
154.967	0.0055				
154.983	0.0055				
155.000	0.0055				
155.017	0.0055				
155.033	0.0055				
155.050	0.0055				
155.067	0.0056				
155.083	0.0056				
155.100	0.0056				
155.117	0.0055				
155.133	0.0056				
155.150	0.0055				
155.167	0.0055				
155.183	0.0054				
155.200	0.0054				
155.217	0.0054				
155.233	0.0055				
155.250	0.0055				
155.267	0.0056				
155.283	0.0056				
155.300	0.0055				
155.317	0.0055				
155.333	0.0056				
155.350	0.0056				
155.367	0.0055				
155.383	0.0055				
155.400	0.0055				
155.417	0.0055				
155.433	0.0055				
155.450	0.0056				
155.467	0.0056				
155.483	0.0057				
155.500	0.0056				
155.517	0.0055				
155.533	0.0055				
155.550	0.0056				
155.567	0.0056				
155.583	0.0056				
155.600	0.0056				
155.617	0.0056				
155.633	0.0055				
155.650	0.0055				
155.667	0.0055				
155.683	0.0056				
155.700	0.0056				
155.717	0.0055				
155.733	0.0055				
155.750	0.0054				
155.767	0.0054				
155.783	0.0055				
155.800	0.0055				
155.817	0.0056				
155.833	0.0055				
155.850	0.0054				
155.867	0.0055				
155.883	0.0056				
155.900	0.0056				
155.917	0.0056				
155.933	0.0056				
155.950	0.0056				
155.967	0.0055				
155.983	0.0055				
156.000	0.0055				
156.017	0.0056				
156.033	0.0055				
156.050	0.0055				
156.067	0.0055				
156.083	0.0055				
156.100	0.0056				
156.117	0.0055				
156.133	0.0055				
156.150	0.0055				
156.167	0.0055				
156.183	0.0056				
156.200	0.0055				
156.217	0.0055				
156.233	0.0055				
156.250	0.0055				
156.267	0.0055				
156.283	0.0055				
156.300	0.0056				
156.317	0.0056				
156.333	0.0056				
156.350	0.0055				
156.367	0.0055				
156.383	0.0055				
156.400	0.0055				
156.417	0.0055				
156.433	0.0056				
156.450	0.0056				
156.467	0.0056				
156.483	0.0056				
156.500	0.0056				
156.517	0.0055				
156.533	0.0055				
156.550	0.0056				
156.567	0.0056				
156.583	0.0056				
156.600	0.0056				
156.617	0.0057				
156.633	0.0057				
156.650	0.0057				
156.667	0.0056				
156.683	0.0055				
156.700	0.0054				
156.717	0.0054				
156.733	0.0056				
156.750	0.0056				
156.767	0.0056				
156.783	0.0056				
156.800	0.0056				
156.817	0.0056				
156.833	0.0056				
156.850	0.0055				
156.867	0.0055				
156.883	0.0056				
156.900	0.0056				
156.917	0.0055				
156.933	0.0055				
156.950	0.0056				
156.967	0.0056				
156.983	0.0056				
157.000	0.0056				
157.017	0.0056				
157.033	0.0055				
157.050	0.0056				
157.067	0.0055				
157.083	0.0055				
157.100	0.0054				
157.117	0.0055				
157.133	0.0054				
157.150	0.0055				
157.167	0.0056				
157.183	0.0056				
157.200	0.0056				
157.217	0.0055				
157.233	0.0055				
157.250	0.0055				
157.267	0.0055				
157.283	0.0056				
157.300	0.0056				
157.317	0.0056				
157.333	0.0055				
157.350	0.0055				
157.367	0.0054				
157.383	0.0055				
157.400	0.0056				
157.417	0.0055				
157.433	0.0055				
157.450	0.0055				
157.467	0.0055				
157.483	0.0056				
157.500	0.0056				
157.517	0.0055				
157.533	0.0055				
157.550	0.0056				
157.567	0.0055				
157.583	0.0055				
157.600	0.0055				
157.617	0.0056				
157.633	0.0056				
157.650	0.0057				
157.667	0.0056				
157.683	0.0056				
157.700	0.0056				
157.717	0.0055				
157.733	0.0055				
157.750	0.0055				
157.767	0.0055				
157.783	0.0055				
157.800	0.0054				
157.817	0.0054				
157.833	0.0055				
157.850	0.0055				
157.867	0.0054				
157.883	0.0055				
157.900	0.0054				
157.917	0.0055				
157.933	0.0054				
157.950	0.0054				
157.967	0.0055				
157.983	0.0055				
158.000	0.0054				
158.017	0.0054				
158.033	0.0055				
158.050	0.0055				
158.067	0.0055				
158.083	0.0055				
158.100	0.0056				
158.117	0.0056				
158.133	0.0055				
158.150	0.0055				
158.167	0.0055				
158.183	0.0055				
158.200	0.0056				
158.217	0.0056				
158.233	0.0055				
158.250	0.0054				
158.267	0.0055				
158.283	0.0054				
158.300	0.0054				
158.317	0.0054				
158.333	0.0054				
158.350	0.0054				
158.367	0.0055				
158.383	0.0055				
158.400	0.0055				
158.417	0.0056				
158.433	0.0055				
158.450	0.0055				
158.467	0.0056				
158.483	0.0055				
158.500	0.0055				
158.517	0.0055				
158.533	0.0055				
158.550	0.0055				
158.567	0.0055				
158.583	0.0055				
158.600	0.0055				
158.617	0.0054				
158.633	0.0054				
158.650	0.0055				
158.667	0.0056				
158.683	0.0056				
158.700	0.0055				
158.717	0.0055				
158.733	0.0055				
158.750	0.0055				
158.767	0.0056				
158.783	0.0055				
158.800	0.0055				
158.817	0.0054				
158.833	0.0054				
158.850	0.0056				
158.867	0.0055				
158.883	0.0055				
158.900	0.0055				
158.917	0.0055				
158.933	0.0054				
158.950	0.0054				
158.967	0.0054				
158.983	0.0054				
159.000	0.0054				
159.017	0.0055				
159.033	0.0055				
159.050	0.0056				
159.067	0.0056				
159.083	0.0057				
159.100	0.0056				
159.117	0.0055				
159.133	0.0054				
159.150	0.0055				
159.167	0.0056				
159.183	0.0056				
159.200	0.0055				
159.217	0.0055				
159.233	0.0055				
159.250	0.0055				
159.267	0.0056				
159.283	0.0056				
159.300	0.0056				
159.317	0.0056				
159.333	0.0056				
159.350	0.0056				
159.367	0.0055				
159.383	0.0055				
159.400	0.0054				
159.417	0.0055				
159.433	0.0055				
159.450	0.0055				
159.467	0.0056				
159.483	0.0055				
159.500	0.0055				
159.517	0.0055				
159.533	0.0055				
159.550	0.0055				
159.567	0.0055				
159.583	0.0056				
159.600	0.0056				
159.617	0.0055				
159.633	0.0054				
159.650	0.0054				
159.667	0.0055				
159.683	0.0056				
159.700	0.0056				
159.717	0.0056				
159.733	0.0056				
159.750	0.0055				
159.767	0.0056				
159.783	0.0056				
159.800	0.0057				
159.817	0.0056				
159.833	0.0055				
159.850	0.0055				
159.867	0.0056				
159.883	0.0056				
159.900	0.0055				
159.917	0.0054				
159.933	0.0054				
159.950	0.0055				
159.967	0.0055				
159.983	0.0055				
160.000	0.0055				
160.017	0.0055				
160.033	0.0054				
160.050	0.0054				
160.067	0.0055				
160.083	0.0054				
160.100	0.0054				
160.117	0.0054				
160.133	0.0054				
160.150	0.0055				
160.167	0.0055				
160.183	0.0055				
160.200	0.0055				
160.217	0.0056				
160.233	0.0056				
160.250	0.0056				
160.267	0.0055				
160.283	0.0055				
160.300	0.0055				
160.317	0.0055				
160.333	0.0055				
160.350	0.0055				
160.367	0.0056				
160.383	0.0056				
160.400	0.0055				
160.417	0.0054				
160.433	0.0054				
160.450	0.0054				
160.467	0.0055				
160.483	0.0055				
160.500	0.0054				
160.517	0.0053				
160.533	0.0054				
160.550	0.0055				
160.567	0.0055				
160.583	0.0054				
160.600	0.0054				
160.617	0.0054				
160.633	0.0055				
160.650	0.0054				
160.667	0.0054				
160.683	0.0054				
160.700	0.0054				
160.717	0.0055				
160.733	0.0055				
160.750	0.0055				
160.767	0.0054				
160.783	0.0055				
160.800	0.0054				
160.817	0.0054				
160.833	0.0055				
160.850	0.0055				
160.867	0.0055				
160.883	0.0054				
160.900	0.0055				
160.917	0.0056				
160.933	0.0055				
160.950	0.0055				
160.967	0.0055				
160.983	0.0055				
161.000	0.0054				
161.017	0.0055				
161.033	0.0054				
161.050	0.0054				
161.067	0.0055				
161.083	0.0056				
161.100	0.0055				
161.117	0.0055				
161.133	0.0055				
161.150	0.0055				
161.167	0.0055				
161.183	0.0055				
161.200	0.0055				
161.217	0.0055				
161.233	0.0054				
161.250	0.0054				
161.267	0.0054				
161.283	0.0054				
161.300	0.0055				
161.317	0.0055				
161.333	0.0054				
161.350	0.0054				
161.367	0.0054				
161.383	0.0054				
161.400	0.0054				
161.417	0.0054				
161.433	0.0055				
161.450	0.0055				
161.467	0.0055				
161.483	0.0055				
161.500	0.0054				
161.517	0.0054				
161.533	0.0055				
161.550	0.0054				
161.567	0.0055				
161.583	0.0055				
161.600	0.0055				
161.617	0.0055				
161.633	0.0054				
161.650	0.0054				
161.667	0.0055				
161.683	0.0054				
161.700	0.0054				
161.717	0.0055				
161.733	0.0055				
161.750	0.0054				
161.767	0.0054				
161.783	0.0055				
161.800	0.0055				
161.817	0.0055				
161.833	0.0055				
161.850	0.0056				
161.867	0.0056				
161.883	0.0055				
161.900	0.0054				
161.917	0.0053				
161.933	0.0054				
161.950	0.0054				
161.967	0.0054				
161.983	0.0055				
162.000	0.0055				
162.017	0.0055				
162.033	0.0054				
162.050	0.0054				
162.067	0.0053				
162.083	0.0052				
162.100	0.0053				
162.117	0.0054				
162.133	0.0054				
162.150	0.0054				
162.167	0.0054				
162.183	0.0054				
162.200	0.0054				
162.217	0.0054				
162.233	0.0053				
162.250	0.0054				
162.267	0.0055				
162.283	0.0055				
162.300	0.0054				
162.317	0.0054				
162.333	0.0054				
162.350	0.0054				
162.367	0.0053				
162.383	0.0054				
162.400	0.0054				
162.417	0.0054				
162.433	0.0054				
162.450	0.0054				
162.467	0.0055				
162.483	0.0055				
162.500	0.0054				
162.517	0.0054				
162.533	0.0055				
162.550	0.0054				
162.567	0.0054				
162.583	0.0055				
162.600	0.0055				
162.617	0.0054				
162.633	0.0054				
162.650	0.0054				
162.667	0.0054				
162.683	0.0054				
162.700	0.0054				
162.717	0.0054				
162.733	0.0054				
162.750	0.0054				
162.767	0.0055				
162.783	0.0055				
162.800	0.0054				
162.817	0.0054				
162.833	0.0053				
162.850	0.0054				
162.867	0.0054				
162.883	0.0054				
162.900	0.0054				
162.917	0.0054				
162.933	0.0055				
162.950	0.0055				
162.967	0.0056				
162.983	0.0055				
163.000	0.0054				
163.017	0.0055				
163.033	0.0055				
163.050	0.0055				
163.067	0.0054				
163.083	0.0054				
163.100	0.0054				
163.117	0.0054				
163.133	0.0054				
163.150	0.0054				
163.167	0.0054				
163.183	0.0053				
163.200	0.0054				
163.217	0.0054				
163.233	0.0054				
163.250	0.0055				
163.267	0.0054				
163.283	0.0054				
163.300	0.0054				
163.317	0.0054				
163.333	0.0055				
163.350	0.0054				
163.367	0.0054				
163.383	0.0054				
163.400	0.0054				
163.417	0.0055				
163.433	0.0055				
163.450	0.0054				
163.467	0.0054				
163.483	0.0054				
163.500	0.0055				
163.517	0.0055				
163.533	0.0055				
163.550	0.0055				
163.567	0.0054				
163.583	0.0054				
163.600	0.0055				
163.617	0.0055				
163.633	0.0054				
163.650	0.0054				
163.667	0.0054				
163.683	0.0054				
163.700	0.0054				
163.717	0.0053				
163.733	0.0053				
163.750	0.0053				
163.767	0.0054				
163.783	0.0054				
163.800	0.0055				
163.817	0.0054				
163.833	0.0054				
163.850	0.0054				
163.867	0.0055				
163.883	0.0055				
163.900	0.0054				
163.917	0.0053				
163.933	0.0054				
163.950	0.0054				
163.967	0.0054				
163.983	0.0054				
164.000	0.0055				
164.017	0.0055				
164.033	0.0054				
164.050	0.0055				
164.067	0.0055				
164.083	0.0054				
164.100	0.0054				
164.117	0.0055				
164.133	0.0055				
164.150	0.0054				
164.167	0.0054				
164.183	0.0054				
164.200	0.0054				
164.217	0.0054				
164.233	0.0054				
164.250	0.0054				
164.267	0.0054				
164.283	0.0054				
164.300	0.0055				
164.317	0.0054				
164.333	0.0054				
164.350	0.0054				
164.367	0.0054				
164.383	0.0054				
164.400	0.0054				
164.417	0.0055				
164.433	0.0055				
